Exported data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,Player Name,Position,HidPos,Team,Price,Value,Status,Picked %,PickedTop 100 %,PickedTop 1000 %,Tot Pts,Tot Pts Percentile,PPG,PPG Percentile,PPM,PPM Percentile,T6,G6,PPG6,Min,Goals,Goals Percentile,Assists,Assists Percentile,Clean Sheets,CS Percentile,Goals Conceded,GC Percentile,Own Goals,OG Percentile,Penalty Saved,PS Percentile,Penalty Made,PM Percentile,Yellow,Yellow Percentile,Red,Red Percentile,Saves,Saves Percentile,Bonus Points,BP Percentile,BPS,BPS Percentile,Inf,Inf Percentile,Creat,Creat Percentile,Threat,Threat Percentile,ICT,ICT Percentile,Wk 27,Wk 26,Wk 25,Wk 24,Wk 23,Wk 22,Wk 21,Wk 20,Wk 19,Wk 18,Wk 17,Wk 16,Wk 15,Wk 14,Wk 13,Wk 12,Wk 11,Wk 10,Wk 9,Wk 8,Wk 7,Wk 6,Wk 5,Wk 4,Wk 3,Wk 2,Wk 1
122798,Robertson,DEF,2,Liverpool,6.4,6.8,d,6,77,65.1,121,93%,3.6,88%,17.79,79%,30,6,5.00,2579,0,0%,8,98%,9,82%,34,78%,0,0%,0,0%,0,0%,3,56%,0,0%,0,0%,10,90%,633,95%,549.2,84%,862.1,99%,211,89%,162.3,98%,2,9,5,8,5,1,6,1,1,2,8,9,2,7,2,1,6,,,,,1,2,9,1,2,1
462424,Saliba,DEF,2,Arsenal,5.8,4.9,i,15.6,3,1.3,117,92%,4.3,99%,23.88,91%,26,0,0.00,2415,2,90%,1,63%,12,94%,25,60%,1,89%,0,0%,0,0%,4,67%,0,0%,0,0%,14,96%,571,88%,529,83%,100.8,57%,114,67%,74.5,74%,7,1,12,1,3,2,1,6,7,1,2,6,8,7,2,,5,1,1,15,,0,1,7,14,-1,8
166477,Castagne,DEF,2,Fulham,4.5,4.3,a,5.5,2,0.3,114,92%,3.1,77%,26.51,95%,11,6,1.83,3255,2,90%,4,95%,8,77%,63,100%,0,0%,0,0%,0,0%,3,56%,0,0%,0,0%,11,91%,615,91%,679.8,95%,377.3,91%,289,95%,135,96%,1,2,2,1,5,0,1,1,1,1,1,6,6,2,12,6,6,7,8,2,,0,,1,1,0,8
83299,Dunk,DEF,2,B & H Albion,5.1,4.8,a,8.2,1,1.3,112,90%,3.1,77%,23.33,90%,24,7,3.43,3240,1,67%,1,63%,12,94%,50,96%,1,89%,0,0%,0,0%,4,67%,0,0%,0,0%,7,81%,648,97%,661.4,94%,163.6,74%,198,88%,102.4,87%,8,6,,2,2,6,1,5,2,3,2,1,1,2,1,8,1,2,1,,,1,-1,7,6,7,2
231065,Pinnock,DEF,2,Brentford,4.5,4.4,a,0.9,0,0.1,112,90%,3.7,89%,25.45,93%,25,6,4.17,2700,3,98%,0,0%,10,88%,34,78%,1,89%,0,0%,0,0%,0,0%,0,0%,0,0%,6,74%,575,89%,751.6,98%,104.9,59%,279,94%,113.8,92%,8,7,,2,2,6,6,6,2,7,1,2,1,2,0,6,7,-2,,,,,,,,,
194010,Henry,DEF,2,Brentford,4.3,4.4,a,2.6,0,0.3,112,90%,3,73%,25.45,93%,24,6,4.00,3240,0,0%,3,89%,11,92%,46,95%,0,0%,0,0%,0,0%,4,67%,0,0%,0,0%,4,61%,505,86%,444.4,78%,401.9,94%,197,87%,104.5,89%,8,1,,2,2,11,6,,2,6,1,2,1,2,0,6,6,0,6,1,,1,2,2,1,6,4
199798,Konsa,DEF,2,Aston Villa,4.5,4.4,a,1,0,0,110,89%,2.9,69%,25.00,92%,16,6,2.67,3322,0,0%,0,0%,12,94%,45,94%,0,0%,0,0%,0,0%,6,85%,0,0%,0,0%,6,74%,633,95%,560.4,87%,116.1,62%,72,51%,74.9,75%,2,7,7,0,0,0,7,2,2,5,1,2,2,0,6,1,1,1,6,7,,2,0,2,1,1,1
214048,Kilman,DEF,2,Wolverhampton,4.5,4.3,a,3.1,0,0,109,89%,2.9,69%,25.35,92%,26,5,5.20,3307,0,0%,1,63%,11,92%,56,98%,0,0%,0,0%,0,0%,3,56%,0,0%,0,0%,12,92%,622,92%,739.8,96%,66.9,45%,106,63%,91.6,85%,1,7,3,2,2,11,0,9,1,2,1,1,1,2,0,1,6,1,1,1,,6,9,2,2,7,1
17761,Tarkowski,DEF,2,Everton,4.6,4.1,a,4.4,0,0,106,88%,2.8,64%,25.85,95%,32,6,5.33,3420,1,67%,1,63%,9,82%,57,99%,0,0%,0,0%,0,0%,6,85%,0,0%,0,0%,13,94%,632,94%,1019.6,100%,184.7,78%,435,99%,164.2,98%,8,0,0,8,1,15,0,1,0,1,3,1,1,6,5,1,1,1,2,8,,6,2,2,2,1,2
216051,Dalot,DEF,2,Man United,5.2,4.8,a,6.3,2,4.3,102,88%,3.9,94%,21.25,89%,17,5,3.40,2152,1,67%,2,78%,10,88%,34,78%,0,0%,0,0%,0,0%,6,85%,0,0%,0,0%,19,98%,502,85%,469.4,80%,418.6,95%,272,92%,116,92%,,-1,,6,6,6,,,1,,,,0,9,2,6,9,2,-2,,,2,8,11,1,0,1
115556,Davies,DEF,2,Tottenham,4.3,4.7,a,1,0,0,99,87%,3.2,79%,21.06,87%,29,6,4.83,2284,2,90%,3,89%,9,82%,33,77%,0,0%,0,0%,0,0%,4,67%,0,0%,0,0%,3,56%,470,82%,407.8,73%,276.9,87%,172,84%,85.8,83%,2,2,5,11,3,6,7,2,1,0,1,7,1,7,1,1,6,6,,,,,1,6,6,4,2
206325,Zinchenko,DEF,2,Arsenal,5,5,i,9,0,3.7,99,87%,3.7,89%,19.80,83%,36,3,12.00,2122,1,67%,2,78%,10,88%,28,64%,0,0%,0,0%,0,0%,3,56%,0,0%,0,0%,8,83%,500,85%,405,71%,387.7,94%,190,87%,98.3,87%,6,1,18,7,3,1,1,6,5,1,1,7,7,,,,,,2,,,1,,,6,1,12
82514,Ream,DEF,2,Fulham,4.5,4.5,i,1.2,0,0,98,86%,3,73%,21.78,89%,27,2,13.50,2898,1,67%,0,0%,8,77%,44,91%,0,0%,0,0%,0,0%,2,43%,0,0%,0,0%,12,92%,560,88%,604.2,90%,65.2,44%,76,53%,74.8,74%,1,1,2,6,9,8,2,1,11,2,14,1,1,6,1,8,0,1,0,1,,1,2,1,1,6,1
111478,Veltman,DEF,2,B & H Albion,4.3,4.6,a,2.4,0,0.3,95,85%,3.1,77%,20.65,86%,29,4,7.25,2183,1,67%,1,63%,10,88%,29,68%,0,0%,0,0%,0,0%,6,85%,0,0%,0,0%,6,74%,447,79%,406.2,72%,200.8,79%,162,84%,77.2,77%,7,13,,2,2,5,1,1,6,,5,1,1,,1,7,1,1,1,,,1,1,6,8,8,2
209036,Guéhi,DEF,2,Crystal Palace,4.2,4.5,a,2.5,0,0.1,95,85%,2.6,58%,21.11,87%,17,6,2.83,3330,1,67%,0,0%,9,82%,46,95%,1,89%,0,0%,0,0%,8,96%,0,0%,0,0%,2,48%,623,93%,688.2,95%,142.7,71%,205,88%,103.9,88%,4,2,6,2,2,1,5,3,0,6,,1,2,6,0,1,7,1,1,,,6,2,-1,2,2,-1
45034,Perišić,DEF,2,Tottenham,4.7,5.3,a,14.7,11,8.9,94,84%,2.8,64%,17.74,78%,8,4,2.00,2099,1,67%,8,98%,6,65%,44,91%,0,0%,0,0%,0,0%,6,85%,0,0%,0,0%,6,74%,430,77%,517.8,82%,732.8,98%,394,98%,164.2,98%,,2,,0,1,5,6,2,10,1,1,1,1,4,1,1,8,1,1,2,,1,1,6,12,4,1
169528,Robinson,DEF,2,Fulham,4.5,4.4,a,0.5,0,0,93,82%,2.7,62%,21.14,88%,28,7,4.00,3088,0,0%,2,78%,9,82%,44,91%,0,0%,0,0%,0,0%,8,96%,0,0%,0,0%,5,67%,558,87%,553,85%,417.6,95%,57,46%,102.9,88%,1,1,7,5,8,6,2,,8,2,6,1,0,6,0,6,1,1,,,,1,1,0,1,6,1
97299,Stones,DEF,2,Man City,5.3,5.6,a,8.2,0,0.1,93,82%,4,96%,16.61,75%,9,5,1.80,1844,2,90%,2,78%,7,69%,17,46%,1,89%,0,0%,0,0%,2,43%,0,0%,0,0%,13,94%,422,75%,396,70%,164.1,74%,135,76%,69.6,68%,9,,,,,,8,1,9,2,2,1,2,7,,,,,,6,,2,10,3,0,1,
244723,Mitchell,DEF,2,Crystal Palace,4.5,4.4,a,1,0,0.5,93,82%,2.6,58%,21.14,88%,19,6,3.17,2889,0,0%,2,78%,8,77%,40,87%,0,0%,0,0%,0,0%,5,80%,1,95%,0,0%,7,81%,476,82%,470.4,80%,234,84%,135,76%,84.3,82%,4,2,6,6,1,0,7,4,,,-3,0,2,11,1,2,1,1,1,,,6,1,1,6,2,1
126184,Aké,DEF,2,Man City,5.1,5,d,2.4,0,0.3,92,82%,3.5,86%,18.40,81%,23,3,7.67,1871,1,67%,0,0%,9,82%,15,42%,0,0%,0,0%,0,0%,2,43%,0,0%,0,0%,9,89%,419,75%,383.4,68%,161.6,73%,150,80%,69.7,69%,6,5,6,1,3,2,1,2,8,2,2,,2,,,,2,6,1,,,1,,,1,6,7
167074,Tete,DEF,2,Fulham,4.4,4.4,a,0.4,0,0,90,81%,2.9,69%,20.45,85%,22,6,3.67,2569,1,67%,5,96%,7,69%,36,83%,0,0%,0,0%,0,0%,8,96%,0,0%,0,0%,1,40%,484,84%,617.8,91%,385.6,93%,110,65%,111.6,91%,1,1,2,6,6,6,2,2,7,5,6,,0,1,,,,,,3,,3,2,2,0,6,3
103192,Zouma,DEF,2,West Ham,4.5,4.4,a,1.4,0,0,88,81%,3.5,86%,20.00,84%,2,3,0.67,1988,2,90%,1,63%,7,69%,29,68%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,8,83%,385,70%,415,74%,18.7,30%,239,91%,67.4,67%,2,0,,,,,11,,,,,1,1,2,15,2,,2,6,2,,1,2,9,1,2,1
18892,Young,DEF,2,Aston Villa,4.4,4.3,a,0.8,0,0,87,80%,3,73%,20.23,85%,2,5,0.40,2031,1,67%,0,0%,9,82%,28,64%,0,0%,0,0%,0,0%,7,92%,0,0%,0,0%,8,83%,388,71%,380.2,67%,223.4,81%,81,55%,68.7,68%,1,,,,1,0,6,2,1,7,1,0,1,0,6,1,1,11,8,5,,2,,,,0,
241157,Emerson Royal,DEF,2,Tottenham,4.3,4.8,a,1.8,6,2.8,86,80%,3.3,84%,17.92,80%,30,4,7.50,1729,2,90%,2,78%,7,69%,27,63%,0,0%,0,0%,0,0%,2,43%,1,95%,0,0%,9,89%,402,73%,376.2,65%,178.9,77%,230,90%,78.7,79%,,1,7,15,1,6,9,7,1,1,,0,1,1,0,,,,-2,1,,2,2,6,6,1,9
211975,Akanji,DEF,2,Man City,4.9,5.1,d,3.6,0,0.3,82,79%,2.8,64%,16.08,74%,20,6,3.33,2284,0,0%,1,63%,7,69%,23,58%,0,0%,0,0%,0,0%,2,43%,0,0%,0,0%,5,67%,460,81%,385.6,68%,146.5,72%,180,86%,71.4,70%,9,6,1,,2,2,6,2,1,2,2,5,2,6,2,,1,7,1,6,,,,,,,
221820,Martínez,DEF,2,Man United,4.7,4.4,i,4.7,0,0.1,81,78%,3,73%,18.41,82%,14,0,0.00,2113,1,67%,0,0%,9,82%,33,77%,0,0%,0,0%,0,0%,6,85%,0,0%,0,0%,6,74%,481,83%,571.8,88%,110.4,60%,82,57%,76.7,77%,5,-1,,6,1,3,8,2,1,,,2,1,7,1,6,6,2,-1,,,2,5,6,2,-1,0
174874,Andersen,DEF,2,Crystal Palace,4.7,4.5,a,1.6,0,0.1,80,77%,2.5,55%,17.78,78%,9,6,1.50,2782,1,67%,0,0%,8,77%,37,84%,2,99%,0,0%,0,0%,8,96%,0,0%,0,0%,1,40%,483,84%,641.8,91%,146.3,71%,273,93%,106.4,90%,3,0,5,1,,,,1,0,5,1,2,2,6,1,2,5,2,,,,7,2,6,2,1,1
51090,Thiago Silva,DEF,2,Chelsea,5,5.4,a,5.7,0,0.1,80,77%,3,73%,14.81,68%,9,6,1.50,2351,0,0%,2,78%,6,65%,32,74%,0,0%,0,0%,0,0%,2,43%,0,0%,0,0%,8,83%,524,87%,657.2,93%,86.1,51%,137,77%,88,84%,,,1,,2,6,6,8,3,2,6,2,2,0,2,,7,,6,,,8,1,2,1,1,6
171314,Rúben,DEF,2,Man City,5.5,6,d,7.4,15,12.4,80,77%,3.1,77%,13.33,63%,18,4,4.50,1997,0,0%,0,0%,9,82%,16,44%,0,0%,0,0%,0,0%,3,56%,0,0%,0,0%,1,40%,432,78%,416.8,75%,83.7,50%,124,71%,62.5,63%,5,7,2,2,2,,,1,,,,,1,1,2,,2,6,,6,,2,6,1,1,6,6
219924,Diop,DEF,2,Fulham,4.4,4.3,a,0.3,0,0.1,79,76%,3.2,79%,18.37,81%,23,6,3.83,2008,1,67%,0,0%,7,69%,26,62%,0,0%,0,0%,0,0%,2,43%,0,0%,0,0%,8,83%,422,75%,432.6,77%,27.7,33%,78,54%,53.8,56%,,1,2,6,6,8,2,2,1,2,6,1,1,7,,6,9,,1,0,,,,1,,,
55494,Ward,DEF,2,Crystal Palace,4.5,4.4,a,0.4,0,0.1,78,75%,2.8,64%,17.73,77%,1,6,0.17,2253,1,67%,0,0%,8,77%,35,80%,0,0%,0,0%,0,0%,6,85%,0,0%,0,0%,5,67%,403,74%,436.2,77%,164.3,75%,114,67%,71.6,71%,1,,,,,,6,,0,6,0,0,,7,1,1,8,2,1,,,5,2,0,2,1,
90152,Varane,DEF,2,Man United,4.9,4.8,a,3.1,0,0,77,75%,3.2,79%,16.04,74%,6,3,2.00,1912,0,0%,0,0%,10,88%,22,55%,1,89%,0,0%,0,0%,1,35%,0,0%,0,0%,2,48%,392,72%,387,69%,74,47%,124,71%,58.8,61%,6,-1,,,,1,1,4,,6,6,,,,1,6,6,1,0,,,2,7,6,1,1,
200402,Semedo,DEF,2,Wolverhampton,4.5,5,a,0.6,0,0.1,75,73%,2.1,46%,15.00,69%,17,6,2.83,2633,0,0%,1,63%,8,77%,43,89%,0,0%,0,0%,0,0%,11,99%,1,95%,0,0%,5,67%,424,77%,443.4,78%,226.5,81%,79,54%,74.4,73%,0,6,2,2,1,6,1,7,2,5,2,2,-3,5,0,1,1,1,1,1,,,1,1,1,1,
224967,Mykolenko,DEF,2,Everton,4.6,4.1,d,0.6,2,0.3,75,73%,2.2,49%,18.29,80%,14,3,4.67,2653,0,0%,1,63%,7,69%,46,95%,0,0%,0,0%,0,0%,4,67%,0,0%,0,0%,4,61%,449,80%,504.8,82%,307,89%,120,70%,93.4,85%,1,,1,6,1,5,0,1,0,2,1,0,1,6,11,2,0,1,2,6,,6,2,2,2,1,1
60232,Dawson,DEF,2,Wolverhampton,4.5,4.8,a,0.8,0,0,75,73%,3,73%,15.63,71%,29,5,5.80,2134,1,67%,1,63%,7,69%,31,72%,0,0%,0,0%,0,0%,6,85%,0,0%,0,0%,7,81%,390,71%,455.6,79%,37.2,35%,145,79%,64,64%,1,8,3,2,3,12,,,1,1,1,0,0,2,,,,5,6,,,,,,,,
110735,Webster,DEF,2,B & H Albion,4.3,4.5,a,0.5,0,0,75,73%,2.8,64%,16.67,76%,17,4,4.25,1983,0,0%,0,0%,9,82%,27,63%,1,89%,0,0%,0,0%,2,43%,0,0%,0,0%,3,56%,405,74%,354,63%,104,58%,126,73%,58.4,60%,2,6,,6,2,1,,1,,,,,1,2,1,6,1,2,-1,,,1,1,5,6,6,2
54469,Smith,DEF,2,Bournemouth,4.4,4.3,a,0.2,0,0,74,71%,2,41%,17.21,77%,13,6,2.17,2940,0,0%,1,63%,7,69%,58,99%,0,0%,0,0%,0,0%,11,99%,0,0%,0,0%,5,67%,400,73%,406.2,72%,261.6,85%,88,59%,75.7,76%,6,1,-1,5,1,1,2,,0,1,1,8,0,5,1,2,1,2,8,2,,1,6,-2,0,-1,5
55459,Cresswell,DEF,2,West Ham,4.2,4.7,a,1.5,0,0.1,74,71%,2.6,58%,15.74,72%,1,5,0.20,2235,0,0%,1,63%,6,65%,32,74%,0,0%,0,0%,0,0%,3,56%,0,0%,0,0%,8,83%,439,78%,411.6,74%,632.9,97%,81,55%,113,91%,,,1,,,,,2,1,1,1,1,1,2,8,2,3,2,5,2,,,2,6,0,2,1
121145,Cancelo,DEF,2,Man City,5.8,7.1,u,17.8,87,89.5,73,71%,4.3,99%,10.28,51%,0,0,0.00,1273,2,90%,2,78%,6,65%,16,44%,0,0%,0,0%,0,0%,3,56%,1,95%,0,0%,10,90%,304,58%,277,57%,266.4,87%,276,94%,81.2,81%,,,,,,,,1,1,,1,1,-2,6,2,,2,18,1,9,,2,12,1,0,11,7
106468,Álex Moreno,DEF,2,Aston Villa,5.2,4.5,i,2.1,0,0,72,70%,3.8,92%,16.00,73%,20,5,4.00,1325,0,0%,3,89%,7,69%,10,33%,0,0%,0,0%,0,0%,3,56%,0,0%,0,0%,5,67%,278,56%,254.4,53%,321.1,89%,151,81%,72.3,72%,8,5,1,4,1,1,5,2,,,,,,,,,,,,,,,,,,,
80226,Aurier,DEF,2,Nottingham Forest,4.5,4.3,a,0.3,0,0,70,69%,2.9,69%,16.28,75%,5,6,0.83,1943,1,67%,0,0%,6,65%,31,72%,0,0%,0,0%,0,0%,2,43%,0,0%,0,0%,8,83%,336,64%,431,76%,164.1,74%,112,66%,70.9,70%,1,1,,2,0,1,2,8,8,10,1,7,1,0,7,6,,0,1,,,,,,,,
