Exported data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,Player Name,Position,HidPos,Team,Price,Value,Status,Picked %,PickedTop 100 %,PickedTop 1000 %,Tot Pts,Tot Pts Percentile,PPG,PPG Percentile,PPM,PPM Percentile,T6,G6,PPG6,Min,Goals,Goals Percentile,Assists,Assists Percentile,Clean Sheets,CS Percentile,Goals Conceded,GC Percentile,Own Goals,OG Percentile,Penalty Saved,PS Percentile,Penalty Made,PM Percentile,Yellow,Yellow Percentile,Red,Red Percentile,Saves,Saves Percentile,Bonus Points,BP Percentile,BPS,BPS Percentile,Inf,Inf Percentile,Creat,Creat Percentile,Threat,Threat Percentile,ICT,ICT Percentile,Wk 27,Wk 26,Wk 25,Wk 24,Wk 23,Wk 22,Wk 21,Wk 20,Wk 19,Wk 18,Wk 17,Wk 16,Wk 15,Wk 14,Wk 13,Wk 12,Wk 11,Wk 10,Wk 9,Wk 8,Wk 7,Wk 6,Wk 5,Wk 4,Wk 3,Wk 2,Wk 1
172850,Chilwell,DEF,2,Chelsea,5.4,5.6,d,3.1,0,0.1,70,69%,3,73%,12.50,61%,23,3,7.67,1402,2,90%,3,89%,4,49%,19,50%,0,0%,0,0%,0,0%,3,56%,0,0%,0,0%,4,61%,302,58%,283.4,58%,382.6,92%,178,85%,84.2,82%,8,10,1,2,1,1,,,,,,,,1,2,,5,,2,,,10,1,1,1,,9
221466,Senesi,DEF,2,Bournemouth,4.6,4.4,a,0.2,0,0,69,68%,2.2,49%,15.68,71%,29,5,5.80,2489,2,90%,0,0%,5,56%,55,98%,0,0%,0,0%,0,0%,7,92%,0,0%,0,0%,5,67%,462,81%,586,89%,78.7,49%,109,65%,77.5,78%,7,7,0,5,8,2,,1,1,0,1,5,0,1,1,2,1,2,9,2,,,,-2,0,1,
58621,Walker,DEF,2,Man City,5.4,4.7,a,4.5,17,19.5,69,68%,2.6,58%,14.68,67%,14,8,1.75,1953,0,0%,0,0%,7,69%,20,51%,0,0%,0,0%,0,0%,3,56%,0,0%,0,0%,0,0%,376,69%,223.8,49%,176.2,76%,39,37%,43.8,50%,1,6,1,2,3,1,,2,1,,,,,,,,,,1,,,2,6,1,1,6,6
171287,Gomez,DEF,2,Liverpool,4.6,4.3,a,0.8,0,0.1,68,67%,3.2,79%,15.81,73%,14,1,14.00,1461,0,0%,0,0%,8,77%,16,44%,0,0%,0,0%,0,0%,3,56%,0,0%,0,0%,8,83%,337,65%,297.8,61%,43.7,39%,27,33%,36.9,46%,,,,6,8,0,7,1,,1,1,2,1,1,1,6,8,0,,,,9,2,6,1,1,
214590,Wan-Bissaka,DEF,2,Man United,4.4,4.3,a,1.8,2,0.5,67,66%,3.5,86%,15.58,70%,10,6,1.67,1432,0,0%,0,0%,8,77%,10,33%,0,0%,0,0%,0,0%,2,43%,0,0%,0,0%,3,56%,308,60%,290.4,60%,221.9,80%,143,78%,65.5,65%,6,,,1,1,2,1,4,6,9,6,,,,,,,,,,,,,,1,,
201057,Kehrer,DEF,2,West Ham,4.2,4.3,a,0.2,0,0,67,66%,2.5,55%,15.58,70%,6,4,1.50,2229,0,0%,3,89%,5,56%,34,78%,1,89%,0,0%,0,0%,4,67%,0,0%,0,0%,4,61%,362,66%,347.6,63%,126.2,67%,83,57%,56,58%,2,,,1,2,1,,,1,,1,1,1,1,6,2,3,1,10,2,,0,0,6,0,,
221632,Romero,DEF,2,Tottenham,5,4.9,i,1.4,0,0.1,66,65%,2.4,51%,13.47,64%,19,4,4.75,2363,0,0%,2,78%,8,77%,41,88%,0,0%,0,0%,0,0%,9,99%,1,95%,0,0%,3,56%,447,79%,546.2,84%,136.2,69%,91,60%,77.3,78%,2,2,6,6,,3,5,-1,6,0,,,,,,1,6,8,1,1,,1,,,,1,2
179268,Cucurella,DEF,2,Chelsea,4.8,4.9,d,5,0,1.2,65,65%,2.7,62%,13.27,63%,9,0,0.00,1669,0,0%,2,78%,6,65%,20,51%,0,0%,0,0%,0,0%,4,67%,0,0%,0,0%,1,40%,363,67%,354.4,64%,232.5,82%,72,51%,65.9,67%,1,,,,2,6,6,,3,2,6,1,2,1,1,6,1,7,,,,1,1,5,1,4,0
472713,Hickey,DEF,2,Brentford,4.4,4.9,a,0.3,0,0,63,64%,2.4,51%,12.86,61%,20,6,3.33,1918,0,0%,3,89%,5,56%,30,70%,0,0%,0,0%,0,0%,7,92%,0,0%,0,0%,2,48%,310,60%,223.6,49%,119.8,63%,98,63%,44.2,51%,7,5,,2,,6,,,,,,,,,,,,3,0,1,,0,1,1,0,6,1
171101,Lenglet,DEF,2,Aston Villa,4.5,4.8,a,0.3,0,0,63,64%,2.4,51%,13.13,62%,16,5,3.20,2018,0,0%,2,78%,5,56%,35,80%,0,0%,0,0%,0,0%,4,67%,0,0%,0,0%,6,74%,387,70%,380.8,67%,136.1,68%,130,74%,64.7,65%,2,2,6,6,,,,1,6,0,6,0,1,1,5,,,,1,1,,2,,,,,1
222690,Malacia,DEF,2,Man United,4.3,4.2,a,1.9,0,0.1,62,63%,2.8,64%,14.76,68%,7,5,1.40,1391,0,0%,0,0%,7,69%,14,40%,0,0%,0,0%,0,0%,6,85%,0,0%,0,0%,8,83%,287,57%,206.4,44%,125.8,66%,77,53%,41.1,48%,,0,,,6,1,,2,,9,5,2,1,,,,,,-2,,,2,5,8,2,1,1
208912,Worrall,DEF,2,Nottingham Forest,4.3,4.2,a,0.1,0,0.2,61,63%,2,41%,14.52,67%,10,6,1.67,2215,1,67%,0,0%,5,56%,44,91%,0,0%,0,0%,0,0%,6,85%,0,0%,0,0%,2,48%,366,67%,471,81%,66.4,44%,92,61%,62.5,63%,7,1,0,1,1,,1,6,6,2,1,7,,1,0,1,,,,1,,1,-1,0,1,7,0
235530,Kelly,DEF,2,Bournemouth,4.5,4.3,a,0.5,3,0.9,60,62%,2.6,58%,13.95,65%,6,6,1.00,2040,0,0%,2,78%,5,56%,38,85%,0,0%,0,0%,0,0%,3,56%,0,0%,0,0%,5,67%,372,68%,394,70%,97.7,56%,26,32%,52.1,55%,6,,,,,,1,1,1,0,1,,,,,,,,,,,4,6,,1,0,12
441164,Pedro Porro,DEF,2,Tottenham,5.7,4.8,a,1.1,0,0,59,61%,3.9,94%,12.29,60%,13,6,2.17,1132,3,98%,3,89%,2,33%,26,62%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,5,67%,253,54%,268.6,55%,377.9,92%,150,80%,79.6,80%,5,6,1,,1,,,,,,,,,,,,,,,,,,,,,,
164555,Coufal,DEF,2,West Ham,4.6,4,a,1,0,0,58,60%,2.1,46%,14.50,66%,5,5,1.00,2135,0,0%,2,78%,4,49%,35,80%,0,0%,0,0%,0,0%,5,80%,0,0%,0,0%,2,48%,327,63%,361.6,64%,330.5,90%,54,43%,74.9,75%,,,1,1,1,2,6,2,2,0,0,,,,4,,1,,,2,,1,2,6,1,2,1
210494,N'Aguerd,DEF,2,West Ham,4.4,4.8,a,0.4,0,0.1,58,60%,3.2,79%,12.08,59%,12,5,2.40,1594,2,90%,0,0%,5,56%,28,64%,0,0%,0,0%,0,0%,4,67%,0,0%,0,0%,5,67%,320,62%,404.4,71%,67.5,46%,113,67%,58.5,60%,2,0,6,1,2,1,6,1,0,,,2,,,,,,,,,,,,,,,
184667,Lindelöf,DEF,2,Man United,4.5,4.1,a,1.6,0,0.1,57,59%,2.9,69%,13.90,64%,9,8,1.13,1359,0,0%,0,0%,6,65%,16,44%,0,0%,0,0%,0,0%,1,35%,0,0%,0,0%,3,56%,327,63%,265,54%,53.5,42%,19,29%,33.9,43%,,,,7,,2,,,6,,,2,1,,1,,,2,0,,,,,,,,
199796,Cash,DEF,2,Aston Villa,4.6,4.6,a,3.1,3,4.9,57,59%,2.2,49%,12.39,60%,25,3,8.33,1817,0,0%,2,78%,4,49%,29,68%,0,0%,0,0%,0,0%,4,67%,0,0%,0,0%,3,56%,311,61%,298.4,62%,178,77%,67,48%,54.4,57%,2,12,6,3,1,1,1,,2,1,,1,2,0,6,0,1,2,,,,0,1,1,1,2,1
215136,N.Williams,DEF,2,Nottingham Forest,4.3,3.8,i,12.1,57,58.5,54,58%,1.7,35%,14.21,65%,7,1,7.00,1872,1,67%,1,63%,4,49%,41,88%,0,0%,0,0%,0,0%,7,92%,0,0%,0,0%,1,40%,284,56%,372.2,65%,257.3,85%,209,89%,84,81%,1,,0,1,,5,1,1,1,1,1,1,1,1,6,6,2,1,-1,1,,4,-1,1,1,7,0
101188,Digne,DEF,2,Aston Villa,4.6,4.5,a,1.2,5,6.1,50,58%,1.8,37%,11.11,54%,7,5,1.40,1492,1,67%,0,0%,3,43%,25,60%,1,89%,0,0%,0,0%,5,80%,0,0%,0,0%,4,61%,234,50%,271.4,56%,293.3,88%,92,61%,65.8,66%,1,1,6,0,-1,0,,1,2,7,1,2,10,1,,,,,,7,,1,1,2,1,-1,1
432830,Collins,DEF,2,Brentford,4.5,4.2,a,0.5,0,0,49,56%,1.9,40%,11.67,58%,2,5,0.40,1811,0,0%,0,0%,4,49%,37,84%,0,0%,0,0%,0,0%,2,43%,1,95%,0,0%,6,74%,326,63%,419,75%,37.9,36%,29,35%,48.9,54%,1,1,,,,,1,6,2,2,2,1,0,2,0,1,,,,-3,,9,7,2,1,8,1
180736,Chalobah,DEF,2,Chelsea,4.3,4.4,a,0.6,0,0.1,49,56%,2,41%,11.14,55%,3,7,0.43,1601,0,0%,0,0%,5,56%,24,59%,1,89%,0,0%,0,0%,4,67%,0,0%,0,0%,1,40%,318,61%,283.6,58%,93.5,54%,108,64%,48.7,54%,1,1,,1,,,5,6,0,,1,2,1,-2,2,6,6,6,,,,,,2,,,
204716,Konaté,DEF,2,Liverpool,4.9,4.9,d,1.3,0,0,49,56%,2.7,62%,10.00,49%,13,5,2.60,1551,0,0%,0,0%,7,69%,22,55%,1,89%,0,0%,0,0%,5,80%,0,0%,0,0%,0,0%,305,59%,285.6,59%,39.6,37%,144,78%,46.8,53%,1,6,6,,,,6,1,-1,,,,2,,,,,1,,,,,,,,,
109646,Tosin,DEF,2,Fulham,4.3,4.4,a,0.1,0,0,49,56%,2,41%,11.14,55%,1,7,0.14,2084,1,67%,0,0%,3,43%,39,86%,0,0%,0,0%,0,0%,4,67%,0,0%,0,0%,1,40%,353,65%,495,81%,89.8,53%,128,73%,71.4,70%,1,,,,,,,1,7,1,,,,,1,,,1,0,7,,1,2,1,1,6,1
226956,Roerslev,DEF,2,Brentford,4.4,4.3,a,0.1,0,0,48,54%,2.4,51%,11.16,56%,4,4,1.00,1101,0,0%,0,0%,5,56%,12,39%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,201,43%,167.6,39%,120.6,64%,46,39%,33.4,42%,,1,,,2,1,6,1,2,6,1,2,1,1,0,6,1,,,,,,,,,6,
214285,Tsimikas,DEF,2,Liverpool,4.5,4.3,a,0.4,0,0.2,48,54%,2.4,51%,11.16,56%,12,4,3.00,762,0,0%,4,95%,4,49%,11,36%,0,0%,0,0%,0,0%,3,56%,0,0%,0,0%,2,48%,216,47%,177.6,41%,281.7,88%,124,71%,58.5,60%,,,11,,,1,,,0,1,,1,,,,9,1,1,0,,,1,1,7,1,0,
447932,Zemura,DEF,2,Bournemouth,,4.2,a,0.1,0,0,47,54%,2.5,55%,11.19,57%,12,0,0.00,1452,0,0%,1,63%,5,56%,31,72%,0,0%,0,0%,0,0%,1,35%,0,0%,0,0%,1,40%,235,50%,269.4,56%,232.8,83%,71,50%,57.1,59%,,2,0,6,2,2,2,,,1,1,6,,1,1,,1,,6,6,,0,6,-2,0,,6
460028,Colwill,DEF,2,Chelsea,4.7,4.4,a,0.2,0,0,46,53%,2.7,62%,10.45,51%,7,7,1.00,1218,0,0%,2,78%,3,43%,21,53%,0,0%,0,0%,0,0%,1,35%,0,0%,0,0%,6,74%,249,53%,222,47%,100.7,57%,50,42%,37.4,46%,7,,,,,,,8,2,0,2,1,,,,,,,,,,,,1,,,1
48760,Zanka,DEF,2,Brentford,4.3,3.9,a,0.9,1,0.1,45,51%,2.5,55%,11.54,58%,1,4,0.25,1097,0,0%,1,63%,4,49%,15,42%,1,89%,0,0%,0,0%,2,43%,0,0%,0,0%,4,61%,191,42%,189.8,43%,18.2,29%,45,39%,25.6,36%,,,,,,1,,1,1,6,1,2,-1,,0,6,,,1,,,1,2,2,,,
220627,Justin,DEF,2,Leicester City,,4.1,i,0.4,0,0.3,45,51%,3.2,79%,10.98,53%,0,0,0.00,1252,0,0%,2,78%,5,56%,25,60%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,2,48%,263,54%,208.4,45%,138.8,70%,40,37%,38.7,47%,,,,,,,,,,,,,7,2,6,7,6,1,6,2,,0,2,1,1,3,1
114128,Jonny,DEF,2,Wolverhampton,,4.3,a,0.3,0,0.7,45,51%,2.5,55%,10.47,52%,10,0,0.00,1257,1,67%,0,0%,5,56%,21,53%,0,0%,0,0%,0,0%,3,56%,1,95%,0,0%,0,0%,219,49%,233.2,52%,118.2,63%,83,57%,43.7,50%,2,6,,,1,1,,,,1,,,0,,0,,6,1,1,1,,5,6,2,2,6,1
41328,Azpilicueta,DEF,2,Chelsea,4.5,4.7,a,1.2,0,0.1,45,51%,1.8,37%,9.57,47%,3,6,0.50,1521,0,0%,0,0%,3,43%,21,53%,1,89%,0,0%,0,0%,3,56%,0,0%,0,0%,4,61%,242,51%,259.2,54%,206.7,80%,93,62%,55.8,58%,,,,2,,1,1,1,3,1,1,1,1,,2,9,1,5,,,,,1,1,1,1,7
57328,Clyne,DEF,2,Crystal Palace,4.3,4.5,a,0.1,0,0,44,49%,2,41%,9.78,48%,20,0,0.00,1638,0,0%,0,0%,3,43%,23,58%,0,0%,0,0%,0,0%,3,56%,0,0%,0,0%,0,0%,246,53%,203.6,44%,124.9,65%,8,24%,33.6,42%,8,2,5,2,2,1,1,3,0,6,2,2,2,,,,,,1,,,1,2,1,,2,0
225796,James,DEF,2,Chelsea,5.3,5.8,i,10.7,77,70.6,44,49%,2.8,64%,7.59,39%,4,0,0.00,1242,1,67%,2,78%,2,33%,17,46%,0,0%,0,0%,0,0%,4,67%,0,0%,0,0%,5,67%,286,57%,292.2,61%,358.2,91%,153,82%,80.4,80%,,,1,,2,1,,,,,1,,,,,,,1,2,,,1,,7,1,7,7
40669,Ogbonna,DEF,2,West Ham,4.3,4.4,a,0.1,0,0,44,49%,2.8,64%,10.00,49%,12,5,2.40,1234,0,0%,0,0%,4,49%,19,50%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,4,61%,217,48%,212.8,46%,35.2,35%,24,30%,27.4,38%,,1,6,1,2,2,7,2,,1,,,,,,,,,,,,1,1,,,,
223911,Mepham,DEF,2,Bournemouth,4.3,4.3,a,0.1,1,0.1,43,48%,1.7,35%,10.00,49%,1,2,0.50,2197,0,0%,0,0%,5,56%,52,97%,2,99%,0,0%,0,0%,7,92%,0,0%,0,0%,6,74%,369,68%,556.4,87%,54.4,43%,134,75%,74.4,73%,,0,-3,1,1,2,,1,1,,,,-1,1,0,1,1,2,6,2,,1,8,-4,1,-1,7
510362,Toti,DEF,2,Wolverhampton,4.4,3.9,a,2.9,1,0.7,43,48%,2.5,55%,11.03,54%,0,6,0.00,978,1,67%,0,0%,4,49%,14,40%,0,0%,0,0%,0,0%,6,85%,0,0%,0,0%,4,61%,201,43%,225.2,51%,74.3,47%,65,47%,36.5,45%,,,,,,,,1,1,1,0,0,,,,,7,1,,,,,,,,,
490721,Bueno,DEF,2,Wolverhampton,4.5,3.8,a,3.6,0,0.9,41,47%,2,41%,10.79,53%,6,4,1.50,1307,0,0%,1,63%,3,43%,29,68%,0,0%,0,0%,0,0%,1,35%,0,0%,0,0%,3,56%,239,51%,221.2,47%,254.8,84%,74,52%,55.3,57%,,,3,2,1,,1,6,2,6,1,0,1,2,0,6,1,,,,,,,,,,
448514,Aït-Nouri,DEF,2,Wolverhampton,4.5,4.1,a,0.7,2,0.9,41,47%,2,41%,10.00,49%,8,1,8.00,1067,1,67%,0,0%,4,49%,18,49%,1,89%,0,0%,0,0%,4,67%,0,0%,0,0%,0,0%,194,43%,195,43%,130.5,68%,156,82%,48.3,53%,1,,1,0,0,6,1,1,1,1,6,,1,,,,6,1,1,1,,6,1,,1,6,-1
242880,Badiashile,DEF,2,Chelsea,4.4,5,d,0.4,0,0.1,40,45%,3.6,88%,8.00,43%,16,2,8.00,904,1,67%,0,0%,4,49%,9,31%,0,0%,0,0%,0,0%,2,43%,0,0%,0,0%,2,48%,209,45%,219.8,46%,49.1,40%,81,55%,35.1,44%,1,6,,2,1,6,6,8,,,,,,,,,,,,,,,,,,,
168281,McKenna,DEF,2,Nottingham Forest,4.4,4.4,i,0.1,0,0.1,40,45%,2,41%,9.09,46%,7,0,0.00,1570,0,0%,0,0%,5,56%,32,74%,0,0%,0,0%,0,0%,4,67%,0,0%,0,0%,0,0%,275,55%,278.8,57%,93.9,56%,46,39%,41.8,49%,,,,,1,6,1,6,,,,,1,0,6,6,1,2,0,1,,0,-1,0,2,5,1
146941,Laporte,DEF,2,Man City,4.9,5.6,d,0.6,0,0,40,45%,3.3,84%,7.14,38%,4,4,1.00,992,0,0%,0,0%,4,49%,10,33%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,3,56%,210,46%,166.2,39%,107.8,60%,68,50%,34.1,43%,,,,2,2,,8,,,,,1,,6,2,,,,0,,,,,,,,
106611,Keane,DEF,2,Everton,4.3,4.2,a,0.5,0,0.2,39,43%,3.2,79%,9.29,46%,11,3,3.67,983,1,67%,2,78%,2,33%,22,55%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,5,67%,180,41%,242.6,53%,42.6,39%,131,75%,41.7,49%,6,5,0,,,,,,,,,,,,,,,,,,,,,1,,,
109533,Emerson,DEF,2,West Ham,4.4,4,d,1.3,0,0.2,39,43%,1.8,37%,9.75,47%,15,6,2.50,1317,1,67%,0,0%,2,33%,28,64%,0,0%,0,0%,0,0%,2,43%,0,0%,0,0%,2,48%,209,45%,224.8,50%,188.8,78%,178,85%,59.4,63%,2,0,,1,10,2,6,,,1,,,,,,,1,1,1,1,,1,0,1,,,
95658,Maguire,DEF,2,Man United,4.2,4.7,a,0.4,0,0,39,43%,2.4,51%,8.30,44%,9,3,3.00,762,0,0%,0,0%,5,56%,7,28%,0,0%,0,0%,0,0%,4,67%,0,0%,0,0%,2,48%,201,43%,180.6,42%,20.3,30%,51,42%,25.2,36%,1,,,,7,1,,1,7,1,1,,,6,,,,,,,,0,,,,-1,0
444463,W.Fofana,DEF,2,Chelsea,4.4,4.3,a,1,4,1.5,37,42%,2.2,49%,8.60,44%,17,5,3.40,1362,1,67%,0,0%,2,33%,24,59%,0,0%,0,0%,0,0%,4,67%,0,0%,0,0%,4,61%,244,52%,289.2,60%,59,43%,86,58%,43.8,50%,1,14,1,1,,,,,,,,,,,,,,,2,,,2,,,,-1,1
192895,Tierney,DEF,2,Arsenal,4.4,4.6,a,0.8,0,0,37,42%,1.4,28%,8.04,43%,3,5,0.60,774,0,0%,1,63%,1,29%,10,33%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,164,37%,144,34%,85.5,50%,67,48%,29.9,40%,1,,1,1,,,,1,,0,2,,1,1,1,,1,1,1,6,,,2,2,1,1,1
90585,Boly,DEF,2,Nottingham Forest,4.5,4.1,a,0.1,0,0.2,37,42%,3.4,85%,9.02,45%,7,3,2.33,684,0,0%,1,63%,3,43%,10,33%,0,0%,0,0%,0,0%,2,43%,0,0%,0,0%,7,81%,147,35%,145,35%,11.8,27%,24,30%,18.3,31%,,,,,1,6,2,,7,8,1,8,,,,,,,,0,,,,,,,
60914,Matip,DEF,2,Liverpool,4.8,5.9,a,0.9,0,0.5,36,41%,2.6,58%,6.10,35%,12,2,6.00,1091,1,67%,0,0%,3,43%,20,51%,1,89%,0,0%,0,0%,3,56%,0,0%,0,0%,4,61%,216,47%,223.4,48%,49.5,40%,90,60%,36.2,44%,,,6,,7,-1,,0,1,2,2,,,,,,,1,1,,,1,,,,,1
87835,Doherty,DEF,2,Wolverhampton,4.3,4.6,u,0.3,2,1,35,39%,2.9,69%,7.61,40%,0,0,0.00,663,1,67%,0,0%,3,43%,9,31%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,2,48%,147,35%,147,36%,110.5,61%,146,80%,40.3,47%,,,,,,,,1,14,1,1,1,1,,1,1,6,6,1,,,,,,,,1
184349,R.Sessegnon,DEF,2,Tottenham,4.4,4.4,i,0.5,0,0.3,35,39%,2.1,46%,7.95,42%,1,0,0.00,805,2,90%,1,63%,1,29%,15,42%,0,0%,0,0%,0,0%,4,67%,0,0%,0,0%,0,0%,121,33%,148.6,37%,103,58%,290,95%,54.3,56%,,,,,,1,,1,1,1,,,1,6,0,1,,6,1,1,,5,,1,1,1,7
169359,Targett,DEF,2,Newcastle United,4.2,4.7,a,0.5,0,0,35,39%,2.1,46%,7.45,39%,1,4,0.25,600,0,0%,0,0%,3,43%,6,26%,0,0%,0,0%,0,0%,1,35%,0,0%,0,0%,2,48%,157,37%,97.6,32%,141.9,70%,8,24%,24.8,35%,,1,,,,,,,,,,1,,1,,,1,1,1,2,,6,1,1,,,8
223723,Tomiyasu,DEF,2,Arsenal,4.5,4.2,i,0.5,0,0,32,39%,1.5,30%,7.62,40%,5,0,0.00,651,0,0%,1,63%,2,33%,11,36%,0,0%,0,0%,0,0%,2,43%,0,0%,0,0%,0,0%,173,40%,137,33%,86.6,51%,55,45%,27.7,39%,1,1,1,1,0,1,4,1,1,0,,,,6,2,,6,1,1,1,,1,1,1,1,0,
243571,Patterson,DEF,2,Everton,4.3,3.9,i,2.2,12,12.2,31,38%,1.6,33%,7.95,42%,0,4,0.00,1274,0,0%,0,0%,2,33%,22,55%,0,0%,0,0%,0,0%,3,56%,0,0%,0,0%,0,0%,173,40%,231.4,51%,111.9,61%,108,64%,45.3,52%,,,,,,,,,0,1,0,1,1,1,,,,,,6,,6,1,2,2,1,2
114241,Toffolo,DEF,2,Nottingham Forest,4.4,4.3,a,0.1,0,0,30,37%,1.6,33%,6.98,37%,1,4,0.25,933,0,0%,0,0%,2,33%,17,46%,0,0%,0,0%,0,0%,2,43%,0,0%,0,0%,1,40%,134,34%,147,36%,93.5,54%,67,48%,30.6,40%,,,0,1,,,,,1,,1,,,,,1,2,2,,,,,1,1,2,7,1
477064,Lewis,DEF,2,Man City,4.2,3.8,a,1.1,0,0.2,29,36%,2.1,46%,7.63,41%,4,4,1.00,900,0,0%,0,0%,2,33%,8,30%,0,0%,0,0%,0,0%,1,35%,0,0%,0,0%,0,0%,168,39%,114.6,33%,152.4,73%,40,37%,30.7,41%,,,2,,,2,1,1,1,2,5,,,,,,,1,,,,,1,,,1,
222018,Johnson,DEF,2,West Ham,4.4,4.4,a,0.1,0,0.1,29,36%,1.7,35%,6.59,36%,9,4,2.25,860,0,0%,0,0%,2,33%,13,39%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,1,40%,164,37%,161.6,38%,76.8,48%,20,29%,25.9,37%,,0,6,1,1,1,1,,,,,,,,7,2,2,,,,,,,1,1,2,1
191866,Ajer,DEF,2,Brentford,4.4,4.5,a,0.1,0,0,29,36%,3.2,79%,6.44,35%,2,0,0.00,763,0,0%,0,0%,4,49%,14,40%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,129,33%,96.8,32%,24.7,32%,27,33%,15.1,30%,,,,,2,,6,6,,,,,,2,0,,6,0,6,1,,,,,,,
173904,Sánchez,DEF,2,Tottenham,4.4,4.2,a,0.5,0,0,28,35%,1.6,33%,6.67,37%,2,2,1.00,848,0,0%,0,0%,2,33%,17,46%,0,0%,0,0%,0,0%,1,35%,0,0%,0,0%,1,40%,166,39%,180.6,42%,29.9,34%,52,43%,26.3,37%,,,,,1,1,,,,,1,1,,0,1,1,1,,1,0,,,1,7,6,,
440854,Kiwior,DEF,2,Arsenal,4.3,4,a,0.3,0,0,26,35%,3.7,89%,6.50,36%,0,5,0.00,425,1,67%,0,0%,2,33%,6,26%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,1,40%,111,32%,53.6,26%,4.1,24%,4,23%,6.3,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,
116404,Felipe,DEF,2,Nottingham Forest,4.4,4.5,d,0.1,0,0,25,33%,1.6,33%,5.56,33%,7,5,1.40,1417,0,0%,1,63%,1,29%,32,74%,0,0%,0,0%,0,0%,4,67%,0,0%,0,0%,3,56%,233,49%,379,66%,79.5,49%,130,74%,59,62%,4,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,
199170,Niakhaté,DEF,2,Nottingham Forest,4.5,4.3,a,0,0,0,25,33%,1.8,37%,5.81,34%,0,6,0.00,1163,0,0%,0,0%,2,33%,22,55%,0,0%,0,0%,0,0%,1,35%,0,0%,0,0%,0,0%,141,35%,173.4,40%,14.8,28%,61,47%,24.9,35%,,,,,,,,,,,,,,,,,,,,,,,,,,6,1
232792,Lamptey,DEF,2,B & H Albion,4,4.2,i,0.9,0,0.1,23,33%,1.1,25%,5.48,33%,9,0,0.00,439,0,0%,0,0%,1,29%,7,28%,0,0%,0,0%,0,0%,1,35%,0,0%,0,0%,0,0%,91,30%,70.6,29%,87.2,52%,48,41%,20.6,32%,,1,,1,1,6,1,1,1,0,1,1,,1,1,0,,1,1,,,1,1,1,,1,1
156074,Holding,DEF,2,Crystal Palace,4.3,4.2,a,0.2,0,0,21,32%,1.5,30%,5.00,32%,1,2,0.50,562,1,67%,0,0%,0,0%,13,39%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,120,32%,152,37%,10.3,26%,54,43%,21.6,33%,,,,1,,,1,,,1,,,1,,,,1,,,,,,1,1,,,
437468,Sergio Gómez,DEF,2,Man City,3.8,4.4,a,0.1,0,0.1,21,32%,1.8,37%,4.77,32%,1,4,0.25,340,0,0%,1,63%,1,29%,6,26%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,1,40%,83,29%,66.2,28%,52.8,42%,24,30%,14.3,29%,,,1,,,,,,,,,,,,,,,1,3,1,,,1,1,,,
56917,Cook,DEF,2,Nottingham Forest,4.5,4.3,a,0.1,0,0.1,20,30%,1.7,35%,4.65,31%,0,0,0.00,956,0,0%,0,0%,2,33%,21,53%,0,0%,0,0%,0,0%,4,67%,0,0%,0,0%,0,0%,149,36%,177.4,40%,39.3,37%,28,35%,24.4,34%,,,,,,,,,,,,,1,0,6,6,2,1,-1,0,,1,,1,2,1,
37642,Evans,DEF,2,Man United,4,4.4,a,0.2,0,0,20,30%,1.5,30%,4.55,30%,1,3,0.33,1051,0,0%,0,0%,2,33%,28,64%,0,0%,0,0%,0,0%,1,35%,0,0%,0,0%,0,0%,191,42%,223.8,49%,20.6,31%,35,36%,27.9,39%,1,,,,,,,,,,,,,,,,,1,6,-1,,0,2,1,1,0,1
198826,Godfrey,DEF,2,Everton,4.3,4.3,i,0.1,0,0,18,30%,1.4,28%,4.19,30%,5,1,5.00,801,0,0%,1,63%,1,29%,18,49%,0,0%,0,0%,0,0%,2,43%,0,0%,0,0%,0,0%,101,31%,146.8,35%,42.3,38%,46,39%,23.6,33%,6,0,-1,,,,,1,,2,1,,,,,,,,,,,,,,,,1
194164,Holgate,DEF,2,Sheffield United,4,4.2,a,0.1,0,0.1,16,29%,2,41%,3.81,29%,0,2,0.00,506,0,0%,0,0%,2,33%,9,31%,0,0%,0,0%,0,0%,1,35%,1,95%,0,0%,2,48%,81,29%,90.4,30%,71.9,46%,55,45%,21.5,32%,,,0,,,,,,,,,,,,,,,,,,,,,8,2,1,1
